probname,espnid
Christian McCaffrey,3117251
Saquon Barkley,3929630
Ezekiel Elliott,3051392
Derrick Henry,3043078
Alvin Kamara,3054850
Dalvin Cook,3116593
Michael Thomas,2976316
Josh Jacobs,4047365
Nick Chubb,3128720
Joe Mixon,3116385
Pat Mahomes,3139477
Miles Sanders,4045163
Tyreek Hill,3116406
Davante Adams,16800
Clyde Edwards-Helaire,4242214
Kenyan Drake,2979843
Aaron Jones,3042519
Julio Jones,13982
Lamar Jackson,3916387
DeAndre Hopkins,15795
Austin Ekeler,3068267
Travis Kelce,15847
Chris Godwin,3116165
George Kittle,3040151
Kenny Golladay,2974858
James Conner,3045147
Mike Evans,16737
Chris Carson,3919596
Adam Thielen,16460
Melvin Gordon,2576434
LeVeon Bell,15825
Amari Cooper,2976499
Leonard Fournette,3115364
Cooper Kupp,2977187
David Johnson,2508176
A.J. Brown,4047646
Mark Ingram,13981
Todd Gurley,2977644
Calvin Ridley,3925357
D.K. Metcalf,4047650
David Montgomery,4035538
Mark Andrews,3116365
JuJu Smith-Schuster,3120348
Devin Singletary,4040761
Allen Robinson,16799
Jonathan Taylor,4242335
Raheem Mostert,2576414
Stefon Diggs,2976212
Robert Woods,15880
Tyler Lockett,2577327
Russell Wilson,14881
Odell Beckham Jr,16733
Zach Ertz,15835
T.Y. Hilton,14924
Kyler Murray,3917315
D.J. Moore,3915416
Dak Prescott,2577417
D.J. Chark,3115394
Keenan Allen,15818
Deshaun Watson,3122840
Kareem Hunt,3059915
Terry McLaurin,3121422
A.J. Green,13983
Darren Waller,2576925
Marquise Brown,4241372
Marlon Mack,3139605
Rob Gronkowski,13229
D'Andre Swift,4259545
Ronald Jones II,3912550
Courtland Sutton,3128429
Cam Akers,4240021
Evan Engram,3051876
Aaron Rodgers,8439
Brandin Cooks,16731
DeVante Parker,2576623
Michael Gallup,4036348
Deebo Samuel,3126486
J.K. Dobbins,4241985
Drew Brees,2580
Sony Michel,3128721
Will Fuller,3052876
Kerryon Johnson,3916925
Jordan Howard,3060022
Josh Allen,3918298
Matt Ryan,11237
Hunter Henry,3046439
Jarvis Landry,16790
Julian Edelman,12649
Tevin Coleman,2979477
Tyler Boyd,3045144
Phillip Lindsay,3052117
San Francisco Defense,sf
Carson Wentz,2573079
Matt Breida,3049916
Mecole Hardman,4035004
Marvin Jones,15072
Emmanuel Sanders,13295
Alexander Mattison,4048244
Tom Brady,2330
Jared Cook,12537
CeeDee Lamb,4241389
Latavius Murray,15920
Diontae Johnson,3932905
Daniel Jones,3917792
Baltimore Defense,bal
Darius Slayton,3916945
Matthew Stafford,12483
Pittsburgh Defense,pit
James White,16913
Christian Kirk,3895856
Jerry Jeudy,4241463
Ke'Shawn Vaughn,3917612
Buffalo Defense,buf
Henry Ruggs III,4241475
Darrell Henderson,4039359
Austin Hooper,3043275
New England Defense,ne
John Brown,16804
Zack Moss,4035676
Baker Mayfield,3052587
Noah Fant,4036131
Tyler Higbee,2573401
Tony Pollard,3916148
Chicago Defense,chi
Hayden Hurst,3924365
Mike Williams,3045138
Ben Roethlisberger,5536
Justin Tucker,15683
Damien Harris,3925347
Antonio Gibson,4360294
Chase Edmonds,3119195
Harrison Butker,3055899
Blake Jarwin,2991767
Carlos Hyde,16777
Drew Lock,3924327
Greg Zuerlein,14993
Sterling Shepard,2976592
Jared Goff,3046779
Sammy Watkins,16725
Rashaad Penny,3139925
LA Chargers Defense,lac
Mike Gesicki,3116164
Adrian Peterson,10452
Tarik Cohen,3066158
Jamison Crowder,2576716
Alshon Jeffery,14912
O.J. Howard,3043080
Bryce Love,3931398
Justin Jackson,3116136
DeSean Jackson,11283
Eric Ebron,16732
Joe Burrow,3915511
Kansas City Defense,kc
Jonnu Smith,3054212
Ryan Tannehill,14876
Larry Fitzgerald,5528
Jimmy Garoppolo,16760
Cam Newton,13994
T.J. Hockenson,4036133
Dallas Goedert,3121023
LeSean McCoy,12514
Wil Lutz,2985659
Philip Rivers,5529
Justin Jefferson,4262921
Preston Williams,3915399
Jalen Reagor,4241802
Brandon Aiyuk,4360438
N'Keal Harry,4047839
Anthony Miller,3050487
Kirk Cousins,14880
Robby Anderson,2574808
Allen Lazard,3128390
Teddy Bridgewater,16728
Boston Scott,3051439
Jack Doyle,16504
Golden Tate,13217
DeAndre Washington,2577654
Denver Defense,den
Jamaal Williams,2980453
Robbie Gould,9354
LA Rams Defense,lar
Minnesota Defense,min
Dallas Defense,dal
Zane Gonzalez,3043234
New Orleans Defense,no
Tampa Bay Defense,tb
Jerick McKinnon,16782
Seattle Defense,sea
Younghoe Koo,3049899
Derek Carr,16757
Indianapolis Defense,ind
Green Bay Defense,gb
Philadelphia Defense,phi
Chris Boswell,17372
Matt Prater,11122
Kaimi Fairbairn,2971573
Mason Crosby,10636
Jake Elliott,3050478
Dan Bailey,14322
Jason Myers,2473037
Steven Hauschka,11923
